Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QA","Live Animals","114","Kenya","5111","Stocks","1126","Camels","2000","2000","Head","717500","","Official data"
"QA","Live Animals","114","Kenya","5111","Stocks","1126","Camels","2001","2001","Head","819123","","Official data"
"QA","Live Animals","114","Kenya","5111","Stocks","1126","Camels","2002","2002","Head","846555","","Official data"
"QA","Live Animals","114","Kenya","5111","Stocks","1126","Camels","2003","2003","Head","895094","","Official data"
"QA","Live Animals","114","Kenya","5111","Stocks","1126","Camels","2004","2004","Head","1193618","","Official data"
"QA","Live Animals","114","Kenya","5111","Stocks","1126","Camels","2005","2005","Head","931308","","Official data"
"QA","Live Animals","114","Kenya","5111","Stocks","1126","Camels","2006","2006","Head","1057900","","Official data"
"QA","Live Animals","114","Kenya","5111","Stocks","1126","Camels","2007","2007","Head","3156492","","Official data"
"QA","Live Animals","114","Kenya","5111","Stocks","1126","Camels","2008","2008","Head","3552347","","Official data"
"QA","Live Animals","114","Kenya","5111","Stocks","1126","Camels","2009","2009","Head","2971111","","Official data"
"QA","Live Animals","114","Kenya","5111","Stocks","1126","Camels","2010","2010","Head","3030600","","Official data"
"QA","Live Animals","114","Kenya","5111","Stocks","1126","Camels","2011","2011","Head","3091200","","Official data"
"QA","Live Animals","114","Kenya","5111","Stocks","1126","Camels","2012","2012","Head","2864732","","Official data"
"QA","Live Animals","114","Kenya","5111","Stocks","1126","Camels","2013","2013","Head","2899244","","Official data"
"QA","Live Animals","114","Kenya","5111","Stocks","1126","Camels","2014","2014","Head","2783587","","Official data"
"QA","Live Animals","114","Kenya","5111","Stocks","1126","Camels","2015","2015","Head","3059840","","Official data"
"QA","Live Animals","114","Kenya","5111","Stocks","1126","Camels","2016","2016","Head","3222593","","Official data"
"QA","Live Animals","114","Kenya","5111","Stocks","1126","Camels","2017","2017","Head","3338757","","Official data"
"QA","Live Animals","114","Kenya","5111","Stocks","1126","Camels","2018","2018","Head","3273445","","Official data"
"QA","Live Animals","114","Kenya","5111","Stocks","866","Cattle","2000","2000","Head","11444800","","Official data"
"QA","Live Animals","114","Kenya","5111","Stocks","866","Cattle","2001","2001","Head","11475861","","Official data"
"QA","Live Animals","114","Kenya","5111","Stocks","866","Cattle","2002","2002","Head","11939977","","Official data"
"QA","Live Animals","114","Kenya","5111","Stocks","866","Cattle","2003","2003","Head","12531324","","Official data"
"QA","Live Animals","114","Kenya","5111","Stocks","866","Cattle","2004","2004","Head","13022412","","Official data"
"QA","Live Animals","114","Kenya","5111","Stocks","866","Cattle","2005","2005","Head","13019049","","Official data"
"QA","Live Animals","114","Kenya","5111","Stocks","866","Cattle","2006","2006","Head","12416271","","Official data"
"QA","Live Animals","114","Kenya","5111","Stocks","866","Cattle","2007","2007","Head","17537332","","Official data"
"QA","Live Animals","114","Kenya","5111","Stocks","866","Cattle","2008","2008","Head","18383184","","Official data"
"QA","Live Animals","114","Kenya","5111","Stocks","866","Cattle","2009","2009","Head","17467774","","Official data"
"QA","Live Animals","114","Kenya","5111","Stocks","866","Cattle","2010","2010","Head","17862852","","Official data"
"QA","Live Animals","114","Kenya","5111","Stocks","866","Cattle","2011","2011","Head","18173500","","Official data"
"QA","Live Animals","114","Kenya","5111","Stocks","866","Cattle","2012","2012","Head","19129800","","Official data"
"QA","Live Animals","114","Kenya","5111","Stocks","866","Cattle","2013","2013","Head","18138500","","Official data"
"QA","Live Animals","114","Kenya","5111","Stocks","866","Cattle","2014","2014","Head","18247632","","Official data"
"QA","Live Animals","114","Kenya","5111","Stocks","866","Cattle","2015","2015","Head","18728076","","Official data"
"QA","Live Animals","114","Kenya","5111","Stocks","866","Cattle","2016","2016","Head","20529190","","Official data"
"QA","Live Animals","114","Kenya","5111","Stocks","866","Cattle","2017","2017","Head","18338810","","Official data"
"QA","Live Animals","114","Kenya","5111","Stocks","866","Cattle","2018","2018","Head","19635142","","Official data"
"QA","Live Animals","114","Kenya","5112","Stocks","1057","Chickens","2000","2000","1000 Head","26291","","Official data"
"QA","Live Animals","114","Kenya","5112","Stocks","1057","Chickens","2001","2001","1000 Head","27031","","Official data"
"QA","Live Animals","114","Kenya","5112","Stocks","1057","Chickens","2002","2002","1000 Head","27871","","Official data"
"QA","Live Animals","114","Kenya","5112","Stocks","1057","Chickens","2003","2003","1000 Head","28283","","Official data"
"QA","Live Animals","114","Kenya","5112","Stocks","1057","Chickens","2004","2004","1000 Head","25906","","Official data"
"QA","Live Animals","114","Kenya","5112","Stocks","1057","Chickens","2005","2005","1000 Head","26857","","Official data"
"QA","Live Animals","114","Kenya","5112","Stocks","1057","Chickens","2006","2006","1000 Head","27772","","Official data"
