Camels,Cattle,Chickens,Goats,Pigs,Sheep
717500,11444800,26291,10004400,310600,7939500
819123,11475861,27031,10804245,332512,7609086
846555,11939977,27871,11319430,336161,9288633
895094,12531324,28283,11945492,415194,8157048
1193618,13022412,25906,13390504,379797,10298464
931308,13019049,26857,13882605,320020,10033881
1057900,12416271,27772,10210434,318547,8176848
3156492,17537332,30625,27927368,319704,16308120
3552347,18383184,32987,28951800,346819,17135920
2971111,17467774,31828,27740152,334689,17129606
3030600,17862852,30398,28174158,347413,17562104
3091200,18173500,30966,28860700,344155,17821600
2864732,19129800,34583,22181935,408703,16115701
2899244,18138500,39872,24637393,432979,16600911
2783587,18247632,42413,27319842,430844,17275423
3059840,18728076,41472,25094383,462033,16795198
3222593,20529190,43796,26745916,504395,18983760
3338757,18338810,48125,25684489,554301,18759072
3273445,19635142,49068,26710775,567843,19485699
