Year,Cassava,"Beans, Dry",Maize,Millet,"Rice, Paddy",Sorghum,Wheat
Y2000,418621,331426,2160000,44623,52349,81536,204232
Y2001,608493,331426,2790000,44623,45000,116607,256997
Y2002,601976,480792,2408596,72197,45000,115584,307215
Y2003,423795,428796,2710848,63622,40502,127215,378665
Y2004,642868,277501,2607139,50467,49295,69508,379425
Y2005,347819,382307,2905559,53101,62677,149656,368879
Y2006,656633,531800,3247200,79207,64840,131188,329193
Y2007,397705,429839,2928793,119599,47256,147365,322320
Y2008,750964,265006,2367237,38462,21881,54316,336688
Y2009,819967,465363,2439000,54000,42202,99000,219301
Y2010,323389,390598,3464541,53881,85536,164066,511994
Y2011,679167,577674,3376862,73396,111229,159877,268482
Y2012,930922,622759,3749880,138204,138204,166627,441944
Y2013,935089,714492,3592688,138829,125256,168857,449641
Y2014,858461,615992,3513171,126000,112263,177553,228900
Y2015,709926,765000,3825000,99000,116473,189000,238600
Y2016,571848,728160,3339000,54000,101510,117000,214700
Y2017,789830,846000,3688090,79902,101866,149467,165200
Y2018,946076,765977,4013777,83554,110325,206234,336600
