Year,"Beans, Dry",Cassava,"Rice, Paddy",Maize,Millet,Sorghum,Wheat
Y2000,4300,69454,37710,14400,4790,6656,15492
Y2001,3808,77681,34091,17012,4279,8569,19890
Y2002,5177,73441,34615,15126,6089,8010,21217
Y2003,4780,79015,37568,16224,5877,8539,25055
Y2004,3526,111000,37280,19293,4457,5644,24827
Y2005,3696,91009,39321,16405,5745,12230,23131
Y2006,5343,95856,28062,17197,5752,8006,21875
Y2007,5079,74185,28715,18132,9335,9474,30940
Y2008,4128,137358,13076,13925,7236,5221,25845
Y2009,4844,116431,19333,12943,5164,5717,16665
Y2010,5666,52521,42384,17251,5436,7267,31991
Y2011,5572,112309,39676,15840,6596,6291,20415
Y2012,5897,127273,46643,17366,11684,7445,29720
Y2013,6594,142470,39955,16922,8249,7550,27602
Y2014,5853,134713,39543,16602,9076,8316,15549
Y2015,6150,140987,39566,18230,10968,9667,19841
Y2016,6215,122886,34601,14284,6111,6336,14022
Y2017,7165,115413,36605,17626,6293,7722,11253
Y2018,6546,153604,42489,18741,7215,8971,25280
